,hot100
5788,1.0
976,1.0
1527,1.0
16878,1.0
562,1.0
10481,1.0
11469,1.0
10246,1.0
8594,1.0
15093,1.0
1763,1.0
6641,1.0
2944,1.0
10289,1.0
8718,1.0
15335,1.0
5738,1.0
2101,1.0
3037,1.0
10227,1.0
16598,1.0
15457,1.0
16579,1.0
10481,1.0
13818,1.0
14810,1.0
16954,1.0
8778,1.0
16561,1.0
3233,1.0
5702,1.0
14680,1.0
16680,1.0
16599,1.0
9326,1.0
931,1.0
8594,1.0
6168,1.0
14768,1.0
5423,1.0
16731,1.0
16577,1.0
10481,1.0
1596,1.0
8692,1.0
12930,1.0
1656,1.0
16737,1.0
14356,1.0
14006,1.0
10181,1.0
3289,1.0
17183,1.0
14475,1.0
8570,1.0
13140,1.0
13333,1.0
10165,1.0
8167,1.0
11375,1.0
13351,1.0
14680,1.0
12241,1.0
8729,1.0
13823,1.0
15708,1.0
16685,1.0
16806,1.0
10181,1.0
11805,1.0
15860,1.0
9326,1.0
15457,1.0
7483,1.0
10191,1.0
16190,1.0
8725,1.0
5457,1.0
11401,1.0
999,1.0
14750,1.0
11375,1.0
7388,1.0
14694,1.0
8433,1.0
2130,1.0
425,1.0
2411,1.0
11733,1.0
6168,1.0
3233,1.0
15030,1.0
17183,1.0
14451,1.0
999,1.0
14565,1.0
7352,1.0
9946,1.0
3121,1.0
5693,1.0
17093,1.0
6772,1.0
14810,1.0
16912,1.0
14551,1.0
8669,1.0
16885,1.0
13135,1.0
3718,1.0
2491,1.0
14526,1.0
10140,1.0
5655,1.0
14451,1.0
8176,1.0
14574,1.0
7648,1.0
12254,1.0
15378,1.0
2774,1.0
11646,1.0
8371,1.0
15489,1.0
15134,1.0
6422,1.0
14451,1.0
8654,1.0
8406,1.0
1663,1.0
17183,1.0
11401,1.0
6758,1.0
14611,1.0
8371,1.0
615,1.0
16684,1.0
6288,1.0
14579,1.0
3971,1.0
13016,1.0
8327,1.0
3238,1.0
17093,1.0
6406,1.0
16707,1.0
994,1.0
17093,1.0
16053,1.0
8611,1.0
13051,1.0
3103,1.0
11426,1.0
8862,1.0
13351,1.0
15093,1.0
8018,1.0
676,1.0
16534,1.0
3282,1.0
1011,1.0
15946,1.0
15378,1.0
8313,1.0
2132,1.0
15054,1.0
5693,1.0
15239,1.0
8329,1.0
15020,1.0
7388,1.0
9080,1.0
1557,1.0
562,1.0
6351,1.0
3289,1.0
2491,1.0
15000,1.0
14632,1.0
788,1.0
15108,1.0
7863,1.0
16707,1.0
15517,1.0
9327,1.0
5761,1.0
2220,1.0
3194,1.0
8761,1.0
16407,1.0
14763,1.0
10090,1.0
14346,1.0
6582,1.0
12519,1.0
6157,1.0
1425,1.0
14668,1.0
976,1.0
5690,1.0
1582,1.0
6422,1.0
15239,1.0
6720,1.0
14574,1.0
14248,1.0
17056,1.0
14704,1.0
14534,1.0
14694,1.0
6518,1.0
8885,1.0
11488,1.0
9963,1.0
9049,1.0
3551,1.0
14773,1.0
8860,1.0
8674,1.0
14750,1.0
1656,1.0
3238,1.0
8496,1.0
16707,1.0
15858,1.0
6406,1.0
8254,1.0
14482,1.0
12031,1.0
1344,1.0
5019,1.0
1026,1.0
8265,1.0
15894,1.0
14531,1.0
15517,1.0
5380,1.0
13161,1.0
11488,1.0
8110,1.0
6777,1.0
14531,1.0
15925,1.0
1561,1.0
15894,1.0
9953,1.0
11976,1.0
8611,1.0
8073,1.0
11468,1.0
15133,1.0
950,1.0
13140,1.0
15093,1.0
5788,1.0
3537,1.0
8039,1.0
14768,1.0
15082,1.0
10370,1.0
15457,1.0
15489,1.0
8692,1.0
15774,1.0
8372,1.0
2504,1.0
1300,1.0
5738,1.0
7739,1.0
3182,1.0
12930,1.0
2161,1.0
8254,1.0
14482,1.0
2411,1.0
5761,1.0
9661,1.0
1375,1.0
999,1.0
10073,1.0
932,1.0
7453,1.0
8783,1.0
13333,1.0
3298,1.0
5380,1.0
6157,1.0
15239,1.0
9672,1.0
16579,1.0
2560,1.0
8537,1.0
1011,1.0
16577,1.0
16633,1.0
10533,1.0
9049,1.0
13348,1.0
15862,1.0
8729,1.0
13328,1.0
6425,1.0
2796,1.0
15745,1.0
11374,1.0
11422,1.0
8176,1.0
9049,1.0
5660,1.0
14754,1.0
8265,1.0
8860,1.0
8406,1.0
10090,1.0
8496,1.0
15082,1.0
3103,1.0
13018,1.0
8365,1.0
15858,1.0
8110,1.0
15894,1.0
11811,1.0
10073,1.0
14664,1.0
474,1.0
803,1.0
14458,1.0
2944,1.0
14356,1.0
10227,1.0
9692,1.0
450,1.0
14750,1.0
8718,1.0
8018,1.0
13860,1.0
10034,1.0
11613,1.0
15343,1.0
14675,1.0
7868,1.0
10533,1.0
12930,1.0
1375,1.0
11815,1.0
6406,1.0
9672,1.0
16737,1.0
6641,1.0
3224,1.0
5092,1.0
14551,1.0
16912,1.0
6425,1.0
6519,1.0
3641,1.0
5706,1.0
15853,1.0
7407,1.0
5660,1.0
3046,1.0
14451,1.0
11488,1.0
13834,1.0
13328,1.0
8176,1.0
5690,1.0
8760,1.0
15082,1.0
13375,1.0
14451,1.0
14358,1.0
16707,1.0
15134,1.0
13051,1.0
1655,1.0
7739,1.0
16274,1.0
13023,1.0
11488,1.0
12031,1.0
1561,1.0
14694,1.0
14589,1.0
16589,1.0
11742,1.0
9910,1.0
8496,1.0
5457,1.0
5726,1.0
8327,1.0
13333,1.0
8860,1.0
11880,1.0
9910,1.0
15518,1.0
11401,1.0
11422,1.0
3770,1.0
6712,1.0
13023,1.0
14530,1.0
14610,1.0
17093,1.0
8365,1.0
9757,1.0
3298,1.0
8616,1.0
16563,1.0
8433,1.0
16912,1.0
6182,1.0
3124,1.0
14810,1.0
10171,1.0
11811,1.0
7851,1.0
8778,1.0
8725,1.0
14565,1.0
3071,1.0
2941,1.0
13365,1.0
5736,1.0
15894,1.0
14719,1.0
15489,1.0
9946,1.0
3037,1.0
4006,1.0
9109,1.0
3321,1.0
15516,1.0
15827,1.0
7608,1.0
5000,1.0
7407,1.0
11794,1.0
3090,1.0
948,1.0
14687,1.0
11524,1.0
8778,1.0
16574,1.0
788,1.0
3233,1.0
5646,1.0
8176,1.0
15834,1.0
7648,1.0
12519,1.0
8654,1.0
9710,1.0
6123,1.0
1671,1.0
5000,1.0
16806,1.0
6168,1.0
15089,1.0
14358,1.0
9748,1.0
7979,1.0
8619,1.0
16589,1.0
7979,1.0
6772,1.0
14534,1.0
15708,1.0
1375,1.0
5543,1.0
14679,1.0
14482,1.0
14538,1.0
16057,1.0
6343,1.0
5736,1.0
16885,1.0
8672,1.0
14358,1.0
11469,1.0
6123,1.0
3183,1.0
10339,1.0
9360,1.0
5657,1.0
8700,1.0
6481,1.0
14595,1.0
11328,1.0
11829,1.0
474,1.0
950,1.0
12235,1.0
10140,1.0
14608,1.0
907,1.0
11829,1.0
8426,1.0
10370,1.0
8778,1.0
16057,1.0
15708,1.0
14006,1.0
4899,1.0
12551,1.0
10629,1.0
7871,1.0
2876,1.0
5738,1.0
5788,1.0
14788,1.0
12235,1.0
14704,1.0
13003,1.0
6860,1.0
3244,1.0
14475,1.0
3327,1.0
8885,1.0
14668,1.0
9910,1.0
12891,1.0
14788,1.0
13376,1.0
10306,1.0
9109,1.0
1355,1.0
15031,1.0
9080,1.0
12617,1.0
10246,1.0
10155,1.0
10397,1.0
5726,1.0
1360,1.0
16043,1.0
12079,1.0
7917,1.0
1685,1.0
1530,1.0
5614,1.0
8018,1.0
474,1.0
15019,1.0
1671,1.0
8372,1.0
15827,1.0
14522,1.0
3971,1.0
950,1.0
8778,1.0
15516,1.0
1561,1.0
7331,1.0
15517,1.0
17025,1.0
14535,1.0
14648,1.0
14562,1.0
11521,1.0
615,1.0
6682,1.0
6422,1.0
8018,1.0
10306,1.0
16743,1.0
8654,1.0
11980,1.0
3224,1.0
11976,1.0
6466,1.0
10397,1.0
16120,1.0
14679,1.0
10536,1.0
5547,1.0
14248,1.0
13828,1.0
285,1.0
6582,1.0
13806,1.0
3233,1.0
17016,1.0
8699,1.0
1344,1.0
10118,1.0
15516,1.0
16619,1.0
8372,1.0
14772,1.0
12758,1.0
10191,1.0
15019,1.0
910,1.0
15894,1.0
11794,1.0
14675,1.0
16680,1.0
5702,1.0
3233,1.0
474,1.0
14810,1.0
14531,1.0
6153,1.0
8793,1.0
5547,1.0
17093,1.0
6522,1.0
1360,1.0
15152,1.0
9710,1.0
14522,1.0
994,1.0
9327,1.0
10073,1.0
16680,1.0
4851,1.0
15912,1.0
14729,1.0
15516,1.0
8477,1.0
14358,1.0
3289,1.0
3044,1.0
6153,1.0
12519,1.0
5611,1.0
976,1.0
1282,1.0
8611,1.0
10073,1.0
2932,1.0
5062,1.0
8433,1.0
9966,1.0
9710,1.0
16589,1.0
15746,1.0
8729,1.0
6761,1.0
10072,1.0
7979,1.0
5058,1.0
13161,1.0
3298,1.0
14579,1.0
11907,1.0
8638,1.0
15089,1.0
14691,1.0
15082,1.0
8537,1.0
2560,1.0
16643,1.0
3282,1.0
9360,1.0
10165,1.0
16407,1.0
16535,1.0
3537,1.0
3194,1.0
12617,1.0
6628,1.0
6777,1.0
17016,1.0
3183,1.0
6157,1.0
15912,1.0
14574,1.0
16598,1.0
2161,1.0
3971,1.0
8073,1.0
10352,1.0
14475,1.0
14534,1.0
9769,1.0
9768,1.0
8365,1.0
10536,1.0
907,1.0
15842,1.0
9769,1.0
14662,1.0
1641,1.0
450,1.0
11815,1.0
6499,1.0
15876,1.0
7917,1.0
16638,1.0
14766,1.0
1355,1.0
2184,1.0
10533,1.0
16409,1.0
11733,1.0
14526,1.0
13376,1.0
5791,1.0
14810,1.0
6499,1.0
16707,1.0
13161,1.0
11742,1.0
994,1.0
562,1.0
3044,1.0
15378,1.0
3658,1.0
4899,1.0
8725,1.0
948,1.0
2491,1.0
14788,1.0
15708,1.0
14729,1.0
16878,1.0
994,1.0
9742,1.0
10289,1.0
976,1.0
9748,1.0
15853,1.0
11401,1.0
9672,1.0
14604,1.0
15547,1.0
16878,1.0
450,1.0
8718,1.0
7483,1.0
4851,1.0
9619,1.0
3037,1.0
14492,1.0
17025,1.0
10533,1.0
8254,1.0
8313,1.0
16552,1.0
8862,1.0
15378,1.0
13879,1.0
6758,1.0
14788,1.0
13811,1.0
9360,1.0
8594,1.0
4851,1.0
11469,1.0
7648,1.0
5543,1.0
8885,1.0
5019,1.0
14675,1.0
14608,1.0
11374,1.0
5706,1.0
12519,1.0
2101,1.0
2220,1.0
15020,1.0
7851,1.0
11646,1.0
10206,1.0
6182,1.0
8167,1.0
14668,1.0
10206,1.0
15834,1.0
14773,1.0
16552,1.0
5380,1.0
2172,1.0
14503,1.0
5706,1.0
16389,1.0
287,1.0
469,1.0
1348,1.0
16727,1.0
16389,1.0
10565,1.0
1425,1.0
14729,1.0
15827,1.0
15152,1.0
10128,1.0
16561,1.0
14772,1.0
7654,1.0
11426,1.0
15842,1.0
1671,1.0
1763,1.0
7352,1.0
10206,1.0
1925,1.0
999,1.0
1282,1.0
14648,1.0
14356,1.0
6777,1.0
16579,1.0
10241,1.0
1628,1.0
16598,1.0
6168,1.0
3321,1.0
14352,1.0
9080,1.0
13295,1.0
14810,1.0
3124,1.0
12519,1.0
14706,1.0
5481,1.0
6168,1.0
978,1.0
8821,1.0
15708,1.0
287,1.0
13348,1.0
14704,1.0
5702,1.0
8700,1.0
4006,1.0
1375,1.0
14632,1.0
2130,1.0
8670,1.0
552,1.0
2172,1.0
8669,1.0
11484,1.0
16726,1.0
1360,1.0
11811,1.0
10034,1.0
9748,1.0
15746,1.0
2411,1.0
8616,1.0
5655,1.0
3321,1.0
1925,1.0
14680,1.0
13140,1.0
11524,1.0
1628,1.0
5702,1.0
16057,1.0
8176,1.0
15082,1.0
16534,1.0
15335,1.0
15459,1.0
12254,1.0
14724,1.0
15022,1.0
16727,1.0
8001,1.0
13135,1.0
4899,1.0
2796,1.0
7863,1.0
615,1.0
6343,1.0
17025,1.0
3121,1.0
6351,1.0
1596,1.0
1360,1.0
8807,1.0
14713,1.0
5788,1.0
11426,1.0
5646,1.0
2184,1.0
9710,1.0
15074,1.0
7462,1.0
3212,1.0
14648,1.0
15853,1.0
1557,1.0
1282,1.0
15112,1.0
10629,1.0
10481,1.0
6440,1.0
5790,1.0
8670,1.0
8073,1.0
13328,1.0
11375,1.0
14606,1.0
6628,1.0
9966,1.0
15860,1.0
8477,1.0
15485,1.0
13319,1.0
15020,1.0
15134,1.0
15827,1.0
16680,1.0
14737,1.0
8018,1.0
16689,1.0
6946,1.0
10165,1.0
7470,1.0
8729,1.0
6772,1.0
16057,1.0
10050,1.0
14530,1.0
16580,1.0
15239,1.0
7863,1.0
3289,1.0
8207,1.0
13834,1.0
12891,1.0
993,1.0
14632,1.0
10075,1.0
14358,1.0
6343,1.0
14772,1.0
5457,1.0
11524,1.0
5657,1.0
14352,1.0
9910,1.0
8277,1.0
629,1.0
16731,1.0
9946,1.0
9742,1.0
629,1.0
16638,1.0
16534,1.0
14996,1.0
16580,1.0
14743,1.0
9748,1.0
15919,1.0
7917,1.0
14611,1.0
5092,1.0
5788,1.0
552,1.0
16591,1.0
5260,1.0
7371,1.0
14006,1.0
16954,1.0
12031,1.0
15335,1.0
13365,1.0
3100,1.0
10140,1.0
3103,1.0
7352,1.0
788,1.0
6288,1.0
8807,1.0
3238,1.0
15533,1.0
11385,1.0
924,1.0
12661,1.0
932,1.0
6522,1.0
14622,1.0
2130,1.0
14729,1.0
2898,1.0
14694,1.0
7407,1.0
11896,1.0
3704,1.0
14632,1.0
16285,1.0
16695,1.0
9768,1.0
17056,1.0
11401,1.0
10374,1.0
8638,1.0
3620,1.0
12631,1.0
10352,1.0
6761,1.0
7407,1.0
8669,1.0
15000,1.0
5381,1.0
5058,1.0
2941,1.0
8110,1.0
1685,1.0
16878,1.0
10073,1.0
10118,1.0
425,1.0
1425,1.0
16578,1.0
14758,1.0
931,1.0
5690,1.0
7388,1.0
15834,1.0
14724,1.0
285,1.0
11524,1.0
15022,1.0
3121,1.0
14011,1.0
12671,1.0
8110,1.0
16638,1.0
8807,1.0
1925,1.0
1833,1.0
8783,1.0
12182,1.0
10246,1.0
16619,1.0
13380,1.0
10255,1.0
7739,1.0
1628,1.0
9946,1.0
10165,1.0
14662,1.0
8254,1.0
6153,1.0
6168,1.0
9748,1.0
3090,1.0
4212,1.0
7608,1.0
3770,1.0
14521,1.0
15560,1.0
5380,1.0
6758,1.0
994,1.0
10210,1.0
4991,1.0
10205,1.0
16581,1.0
16409,1.0
13135,1.0
13345,1.0
13295,1.0
10193,1.0
8496,1.0
15031,1.0
9428,1.0
12519,1.0
5761,1.0
2130,1.0
10217,1.0
14773,1.0
11521,1.0
15089,1.0
10241,1.0
16934,1.0
4899,1.0
8619,1.0
14624,1.0
8277,1.0
6860,1.0
993,1.0
14704,1.0
15820,1.0
6420,1.0
1348,1.0
950,1.0
10165,1.0
6343,1.0
8654,1.0
15089,1.0
4991,1.0
1663,1.0
14492,1.0
5547,1.0
11521,1.0
1641,1.0
13818,1.0
11811,1.0
3620,1.0
4006,1.0
9327,1.0
14482,1.0
14743,1.0
3704,1.0
10277,1.0
924,1.0
8496,1.0
16409,1.0
16053,1.0
5406,1.0
11422,1.0
287,1.0
15925,1.0
2562,1.0
14579,1.0
11468,1.0
6137,1.0
10205,1.0
15919,1.0
2529,1.0
13333,1.0
11488,1.0
1344,1.0
12551,1.0
9692,1.0
9742,1.0
10289,1.0
10155,1.0
7638,1.0
5495,1.0
8426,1.0
16934,1.0
13018,1.0
1671,1.0
14534,1.0
6582,1.0
2491,1.0
9109,1.0
16707,1.0
926,1.0
10255,1.0
5495,1.0
1833,1.0
14575,1.0
9769,1.0
12265,1.0
8885,1.0
11451,1.0
8327,1.0
6481,1.0
3321,1.0
14624,1.0
15746,1.0
15560,1.0
7483,1.0
7388,1.0
13375,1.0
9910,1.0
3620,1.0
5611,1.0
13828,1.0
15300,1.0
15457,1.0
15847,1.0
1026,1.0
14248,1.0
14451,1.0
14679,1.0
14112,1.0
14766,1.0
2491,1.0
15030,1.0
14551,1.0
13823,1.0
6761,1.0
7871,1.0
14687,1.0
6288,1.0
924,1.0
944,1.0
9769,1.0
14713,1.0
6518,1.0
14768,1.0
14773,1.0
8669,1.0
8329,1.0
3224,1.0
11374,1.0
11805,1.0
14729,1.0
9360,1.0
5457,1.0
7638,1.0
10128,1.0
11401,1.0
14248,1.0
15746,1.0
924,1.0
6288,1.0
5058,1.0
15912,1.0
15745,1.0
8371,1.0
9049,1.0
3233,1.0
13051,1.0
14743,1.0
11815,1.0
16643,1.0
14522,1.0
5791,1.0
14609,1.0
8327,1.0
8207,1.0
6153,1.0
3212,1.0
11448,1.0
10206,1.0
8254,1.0
10205,1.0
7331,1.0
3071,1.0
8700,1.0
16552,1.0
14346,1.0
7667,1.0
15082,1.0
17093,1.0
5646,1.0
15862,1.0
14648,1.0
2504,1.0
8426,1.0
5495,1.0
3046,1.0
15489,1.0
931,1.0
2132,1.0
15746,1.0
13351,1.0
1906,1.0
16578,1.0
11374,1.0
6694,1.0
16574,1.0
8797,1.0
14704,1.0
5660,1.0
16727,1.0
15708,1.0
12031,1.0
5791,1.0
1418,1.0
16563,1.0
10255,1.0
6182,1.0
10090,1.0
12254,1.0
285,1.0
2161,1.0
16731,1.0
7917,1.0
10140,1.0
8669,1.0
8167,1.0
16407,1.0
5000,1.0
3537,1.0
7371,1.0
10191,1.0
2139,1.0
1685,1.0
11422,1.0
11488,1.0
2101,1.0
8821,1.0
16057,1.0
5423,1.0
15560,1.0
15485,1.0
14750,1.0
13834,1.0
15074,1.0
14763,1.0
16643,1.0
16737,1.0
2161,1.0
11469,1.0
16727,1.0
5092,1.0
3718,1.0
14602,1.0
8329,1.0
6157,1.0
1763,1.0
13161,1.0
5423,1.0
16563,1.0
15457,1.0
9692,1.0
10050,1.0
15912,1.0
7352,1.0
15112,1.0
13345,1.0
16578,1.0
6168,1.0
14680,1.0
12551,1.0
15858,1.0
3090,1.0
12250,1.0
3204,1.0
2529,1.0
14565,1.0
14737,1.0
13351,1.0
978,1.0
1663,1.0
5406,1.0
976,1.0
6499,1.0
3590,1.0
9753,1.0
14538,1.0
978,1.0
3103,1.0
15485,1.0
8379,1.0
17016,1.0
11646,1.0
926,1.0
9953,1.0
16959,1.0
12661,1.0
14356,1.0
16581,1.0
8797,1.0
2529,1.0
5495,1.0
10306,1.0
3238,1.0
10118,1.0
7979,1.0
2898,1.0
14595,1.0
13823,1.0
3071,1.0
6425,1.0
12751,1.0
11328,1.0
5495,1.0
14662,1.0
7331,1.0
10277,1.0
11375,1.0
12751,1.0
327,1.0
7483,1.0
11733,1.0
9080,1.0
11880,1.0
7654,1.0
14604,1.0
7486,1.0
14687,1.0
10339,1.0
8609,1.0
6168,1.0
3244,1.0
8537,1.0
14451,1.0
15847,1.0
2774,1.0
2132,1.0
16680,1.0
15708,1.0
8821,1.0
15054,1.0
10352,1.0
10629,1.0
14766,1.0
13860,1.0
17183,1.0
10205,1.0
15820,1.0
5495,1.0
15022,1.0
8001,1.0
8811,1.0
6522,1.0
12265,1.0
3282,1.0
8594,1.0
15834,1.0
14522,1.0
2139,1.0
676,1.0
978,1.0
926,1.0
2184,1.0
15834,1.0
13333,1.0
2145,1.0
1596,1.0
1425,1.0
1282,1.0
5790,1.0
11328,1.0
5457,1.0
14535,1.0
5611,1.0
14758,1.0
15860,1.0
10370,1.0
9768,1.0
16934,1.0
11742,1.0
16680,1.0
976,1.0
8611,1.0
11426,1.0
3204,1.0
5646,1.0
5706,1.0
16785,1.0
3274,1.0
9661,1.0
10277,1.0
14622,1.0
15764,1.0
16581,1.0
5543,1.0
15842,1.0
3071,1.0
6182,1.0
11829,1.0
8811,1.0
14006,1.0
8265,1.0
1348,1.0
994,1.0
15093,1.0
15020,1.0
14773,1.0
6777,1.0
11488,1.0
4006,1.0
7658,1.0
5058,1.0
425,1.0
16043,1.0
1418,1.0
12617,1.0
13026,1.0
3238,1.0
2145,1.0
13375,1.0
15000,1.0
12519,1.0
11815,1.0
5343,1.0
11468,1.0
962,1.0
1418,1.0
10277,1.0
13348,1.0
5616,1.0
5702,1.0
10073,1.0
8371,1.0
14750,1.0
910,1.0
14522,1.0
3551,1.0
7453,1.0
14562,1.0
16534,1.0
13834,1.0
14996,1.0
13333,1.0
6481,1.0
14531,1.0
15834,1.0
15000,1.0
11524,1.0
3658,1.0
1525,1.0
14766,1.0
7739,1.0
16409,1.0
12254,1.0
469,1.0
15824,1.0
12533,1.0
2139,1.0
11976,1.0
1348,1.0
14535,1.0
5791,1.0
8619,1.0
10723,1.0
16785,1.0
9619,1.0
15019,1.0
13339,1.0
2411,1.0
16643,1.0
2491,1.0
15912,1.0
14624,1.0
11976,1.0
8797,1.0
2504,1.0
15533,1.0
16043,1.0
9753,1.0
10227,1.0
12235,1.0
10165,1.0
7486,1.0
2944,1.0
6777,1.0
3124,1.0
8371,1.0
12031,1.0
3100,1.0
11468,1.0
2130,1.0
14668,1.0
9757,1.0
7470,1.0
993,1.0
16638,1.0
3551,1.0
15489,1.0
13326,1.0
3212,1.0
3658,1.0
13818,1.0
16407,1.0
7863,1.0
11524,1.0
1418,1.0
3620,1.0
1582,1.0
9897,1.0
11328,1.0
8793,1.0
14346,1.0
7851,1.0
11426,1.0
11484,1.0
14687,1.0
8816,1.0
13339,1.0
10034,1.0
12519,1.0
14668,1.0
552,1.0
14458,1.0
8570,1.0
16580,1.0
10306,1.0
6422,1.0
15082,1.0
7486,1.0
1582,1.0
3212,1.0
4851,1.0
8609,1.0
10205,1.0
16536,1.0
1583,1.0
12758,1.0
16878,1.0
16552,1.0
2172,1.0
7917,1.0
14773,1.0
8611,1.0
11564,1.0
10210,1.0
6519,1.0
6777,1.0
10217,1.0
6712,1.0
7658,1.0
13295,1.0
13326,1.0
13348,1.0
16581,1.0
13018,1.0
8801,1.0
16120,1.0
16727,1.0
10227,1.0
12891,1.0
11375,1.0
5058,1.0
5646,1.0
6628,1.0
8433,1.0
8073,1.0
327,1.0
14565,1.0
8885,1.0
14595,1.0
7371,1.0
8718,1.0
11417,1.0
14530,1.0
15000,1.0
16684,1.0
17025,1.0
2876,1.0
5019,1.0
12182,1.0
14358,1.0
16959,1.0
11484,1.0
10128,1.0
11907,1.0
6481,1.0
8699,1.0
6003,1.0
3274,1.0
14996,1.0
9910,1.0
16389,1.0
17016,1.0
931,1.0
14996,1.0
14724,1.0
16599,1.0
10306,1.0
2560,1.0
6519,1.0
6168,1.0
16579,1.0
7388,1.0
1663,1.0
7871,1.0
3121,1.0
7388,1.0
3321,1.0
9769,1.0
10165,1.0
13016,1.0
3182,1.0
9109,1.0
14574,1.0
1300,1.0
9910,1.0
6777,1.0
14358,1.0
9953,1.0
8313,1.0
1906,1.0
8885,1.0
15919,1.0
13328,1.0
3121,1.0
6761,1.0
287,1.0
5092,1.0
11374,1.0
15834,1.0
6481,1.0
15827,1.0
2932,1.0
6519,1.0
8816,1.0
8725,1.0
3327,1.0
10723,1.0
1418,1.0
3071,1.0
8797,1.0
14662,1.0
13018,1.0
10171,1.0
14648,1.0
8433,1.0
1663,1.0
5790,1.0
11883,1.0
3537,1.0
7638,1.0
5788,1.0
1282,1.0
15858,1.0
2411,1.0
9661,1.0
3718,1.0
3275,1.0
8718,1.0
2941,1.0
8629,1.0
13349,1.0
993,1.0
13834,1.0
2944,1.0
16730,1.0
10277,1.0
14610,1.0
14574,1.0
14648,1.0
1628,1.0
14669,1.0
16578,1.0
11480,1.0
14750,1.0
16934,1.0
10155,1.0
3289,1.0
1583,1.0
15746,1.0
11488,1.0
16285,1.0
10118,1.0
327,1.0
11401,1.0
13376,1.0
7331,1.0
1557,1.0
14763,1.0
16743,1.0
14575,1.0
14713,1.0
13345,1.0
2184,1.0
16885,1.0
16680,1.0
1011,1.0
8315,1.0
16680,1.0
425,1.0
14565,1.0
11880,1.0
16633,1.0
10629,1.0
1026,1.0
6641,1.0
8811,1.0
5062,1.0
12031,1.0
4991,1.0
11426,1.0
8778,1.0
6628,1.0
8692,1.0
9742,1.0
11883,1.0
7483,1.0
14531,1.0
6425,1.0
10246,1.0
16616,1.0
14011,1.0
3194,1.0
3046,1.0
7371,1.0
14668,1.0
10050,1.0
16599,1.0
14669,1.0
14602,1.0
12079,1.0
1425,1.0
8654,1.0
14475,1.0
13326,1.0
14691,1.0
15108,1.0
6758,1.0
15112,1.0
8433,1.0
9946,1.0
15820,1.0
10140,1.0
11742,1.0
16285,1.0
15300,1.0
8638,1.0
11980,1.0
5457,1.0
